fecha,temp_out (Grados C),hi_temp (Grados C),low_temp (Grados C),out_hum (%),dew_Pt (Grados C),wind_Speed (km/h),wind_dir (Grados ),wind_run (km),hi_speed (km/h),hi_Dir (Grados ),wind_chill (Grados C),heat_Index (Grados C),tHW_index (Grados C),tHSW_index (Grados C),bar (mb),rain (mm),rain_rate (mm/hr),solar_rad (W/m2),solar_energy (MJ/m2),hi_solar_rad (W/m2),uv_index (UV),uv_dose (MEDs),hi_uv (UV),Heat_dd (Grados C dias grado-calor),cool_dd (Grados C),in_temp (Grados C),in_hum (%),in_dew (Grados C),in_heat (Grados C),in_emc (g/m3),in_air (kg/cu.m),ET (mm),wind_samp,wind_tx,iss_recept (%),arc_int (minutos),created_at,updated_at,
2023-01-01 00:00:00, 14.10417, 24.5, 5.2, 45.1354, 1.17118, 4.08507, N, 0.339444, 8.93229, N, 14.07535, 13.05556, 13.02674, 12.51354, 1011.53715, 0.0, 0.00000, 143.9097, 1.031319, 156.2292, 0.78090, 0.015313, 0.81632, 0.0190069, 0.0043438, 21.70174, 29.6979, 3.20521, 19.96701, 6.148299, 1.18666528, 3.5, 114.7917, 1.0000, 99.49167, 5.0000, 2023-04-19 21:46:26, 2023-04-19 21:46:26, 
2023-01-02 00:00:00, 16.72917, 22.8, 12.7, 35.0938, 0.37222, 9.21181, N, 0.765903, 19.37049, N, 16.33819, 14.99653, 14.60347, 14.11667, 1005.52639, 0.0, 0.00000, 153.7569, 1.102049, 159.3542, 0.73299, 0.014375, 0.75208, 0.0080799, 0.0025069, 22.53403, 29.6806, 3.90729, 21.12917, 6.092361, 1.17574896, 4.8, 115.3229, 1.0000, 99.85451, 5.0000, 2023-04-19 21:46:29, 2023-04-19 21:46:29, 
2023-01-03 00:00:00, 14.60347, 22.3, 10.2, 34.1528, -1.77396, 7.83819, WSW, 0.653229, 16.10694, WSW, 14.30313, 12.94861, 12.64757, 11.96111, 1009.51806, 0.0, 0.00000, 148.0035, 1.060764, 155.5069, 0.73681, 0.014306, 0.75382, 0.0140764, 0.0011250, 22.29792, 29.6111, 3.67500, 20.78750, 6.077569, 1.18156840, 4.6, 115.4271, 1.0000, 99.90729, 5.0000, 2023-04-19 21:46:32, 2023-04-19 21:46:32, 
2023-01-04 00:00:00, 11.92778, 20.2, 4.3, 37.8958, -2.67257, 4.90660, N, 0.409097, 9.28333, N, 11.82500, 10.53819, 10.43542, 10.16979, 1016.91215, 0.0, 0.00000, 154.0104, 1.103750, 156.0833, 0.75069, 0.014722, 0.75868, 0.0229444, 0.0006771, 22.22431, 28.9063, 3.27639, 20.69757, 5.977708, 1.19083507, 3.7, 114.8854, 1.0000, 99.45625, 5.0000, 2023-04-19 21:46:36, 2023-04-19 21:46:36, 
2023-01-05 00:00:00, 12.75625, 27.6, 3.7, 36.9931, -3.37917, 2.04514, WSW, 0.170243, 5.44792, WSW, 12.75139, 11.59028, 11.58646, 10.96806, 1020.89306, 0.0, 0.00000, 154.3785, 1.106389, 156.1285, 0.85486, 0.016736, 0.86667, 0.0251493, 0.0057778, 21.84931, 29.5104, 3.24583, 20.29201, 6.088993, 1.19707014, 3.3, 114.6076, 1.0000, 99.57326, 5.0000, 2023-04-19 21:46:39, 2023-04-19 21:46:39, 
2023-01-06 00:00:00, 16.61701, 30.1, 7.0, 28.5069, -3.44271, 3.64167, WSW, 0.303576, 8.04097, WSW, 16.61007, 15.10556, 15.09826, 14.46458, 1015.67569, 0.0, 0.00000, 153.4063, 1.099583, 156.3021, 0.89653, 0.017708, 0.90625, 0.0158993, 0.0099722, 22.02049, 28.7813, 3.03542, 20.41458, 5.969375, 1.19035556, 4.2, 113.8160, 1.0000, 99.05972, 5.0000, 2023-04-19 21:46:42, 2023-04-19 21:46:42, 
2023-01-07 00:00:00, 15.01667, 26.6, 5.8, 29.1319, -3.88993, 4.63194, N, 0.385382, 9.18715, N, 14.89063, 13.29965, 13.17396, 12.24097, 1015.36528, 0.0, 0.00000, 129.7569, 0.930243, 134.5451, 0.71528, 0.014028, 0.73646, 0.0154583, 0.0039271, 21.66840, 27.0625, 1.87396, 19.87014, 5.751424, 1.19210243, 4.1, 114.2257, 1.0000, 99.53021, 5.0000, 2023-04-19 21:46:46, 2023-04-19 21:46:46, 
2023-01-08 00:00:00, 11.49063, 22.6, 3.8, 36.3750, -3.77049, 2.75243, N, 0.229583, 6.40313, N, 11.47743, 10.11285, 10.10000, 9.49792, 1021.15174, 0.0, 0.00000, 123.9514, 0.888299, 139.8507, 0.76285, 0.015000, 0.82188, 0.0250903, 0.0013507, 19.71181, 25.1424, -0.81771, 17.40069, 5.518785, 1.20848056, 2.9, 114.2986, 1.0000, 99.42257, 5.0000, 2023-04-19 21:46:49, 2023-04-19 21:46:49, 
2023-01-09 00:00:00, 12.93681, 24.3, 4.3, 38.1528, -1.92813, 3.00104, NNW, 0.249792, 6.55590, NNW, 12.92326, 11.71111, 11.69722, 11.09757, 1020.05660, 0.0, 0.00000, 150.6285, 1.079549, 152.3264, 0.83924, 0.016424, 0.85035, 0.0221354, 0.0034167, 20.61424, 27.3715, 1.09757, 18.66319, 5.817604, 1.20235625, 3.4, 114.6319, 1.0000, 99.68715, 5.0000, 2023-04-19 21:46:52, 2023-04-19 21:46:52, 
2023-01-10 00:00:00, 13.92951, 27.9, 5.2, 36.1632, -2.55938, 2.53646, SW, 0.211215, 6.02222, WNW, 13.92326, 12.65903, 12.65347, 12.01424, 1018.10764, 0.0, 0.00000, 147.6111, 1.058090, 150.7639, 0.84167, 0.016424, 0.85278, 0.0206007, 0.0053090, 21.84931, 29.6736, 3.31007, 20.29340, 6.114931, 1.19374722, 3.3, 115.4236, 1.0000, 99.89479, 5.0000, 2023-04-19 21:46:56, 2023-04-19 21:46:56, 
