EQUIPO,MARCA,MODELO,Unnamed: 3
30004229,KENWORTH,2000,AMERICANO
30004325,INTERNATIONAL,2005,AMERICANO
30004334,INTERNATIONAL,2006,AMERICANO
30004360,KENWORTH,2006,AMERICANO
30004363,KENWORTH,2006,AMERICANO
30004365,KENWORTH,2006,AMERICANO
30004366,KENWORTH,2006,AMERICANO
30004367,KENWORTH,2006,AMERICANO
30004368,KENWORTH,2006,AMERICANO
30004384,INTERNATIONAL,2007,AMERICANO
30004385,INTERNATIONAL,2006,AMERICANO
30004390,INTERNATIONAL,2006,AMERICANO
30004392,INTERNATIONAL,2006,AMERICANO
30004399,INTERNATIONAL,2007,AMERICANO
30004411,KENWORTH,2007,AMERICANO
30004414,INTERNATIONAL,2007,AMERICANO
30004415,INTERNATIONAL,2007,AMERICANO
30004418,KENWORTH,2007,AMERICANO
30004423,INTERNATIONAL,2007,AMERICANO
30004428,INTERNATIONAL,2008,AMERICANO
30004430,INTERNATIONAL,2008,AMERICANO
30004437,INTERNATIONAL,2006,AMERICANO
30004440,KENWORTH,2008,AMERICANO
30004441,INTERNATIONAL,2008,AMERICANO
30004443,KENWORTH,2008,AMERICANO
30005344,KENWORTH,2013,AMERICANO
30005345,KENWORTH,2013,AMERICANO
30005347,KENWORTH,2013,AMERICANO
30005348,KENWORTH,2013,AMERICANO
30005349,KENWORTH,2013,AMERICANO
30005756,KENWORTH,2014,AMERICANO
30005757,KENWORTH,2014,AMERICANO
30005758,KENWORTH,2014,AMERICANO
30005759,KENWORTH,2014,AMERICANO
30005760,KENWORTH,2014,AMERICANO
30005761,KENWORTH,2014,AMERICANO
30005762,KENWORTH,2014,AMERICANO
30005763,KENWORTH,2014,AMERICANO
30005764,KENWORTH,2014,AMERICANO
30005765,KENWORTH,2014,AMERICANO
30006161,KENWORTH,2015,AMERICANO
30006162,KENWORTH,2015,AMERICANO
30006163,KENWORTH,2015,AMERICANO
30006164,KENWORTH,2015,AMERICANO
30006165,KENWORTH,2015,AMERICANO
30006166,KENWORTH,2015,AMERICANO
30006167,KENWORTH,2015,AMERICANO
30006168,KENWORTH,2015,AMERICANO
30006169,INTERNATIONAL,2015,AMERICANO
30006170,INTERNATIONAL,2015,AMERICANO
30006171,MACK GRANITE,2014,AMERICANO
30006296,KENWORTH,2016,AMERICANO
30006297,KENWORTH,2016,AMERICANO
30006298,KENWORTH,2016,AMERICANO
30006299,KENWORTH,2016,AMERICANO
30006300,KENWORTH,2016,AMERICANO
30006301,KENWORTH,2016,AMERICANO
30006302,KENWORTH,2016,AMERICANO
30006598,KENWORTH,2016,AMERICANO
30006599,KENWORTH,2016,AMERICANO
30006600,KENWORTH,2016,AMERICANO
30006601,KENWORTH,2016,AMERICANO
30006602,KENWORTH,2016,AMERICANO
30006603,KENWORTH,2016,AMERICANO
30006604,KENWORTH,2016,AMERICANO
30006605,KENWORTH,2016,AMERICANO
30006606,KENWORTH,2016,AMERICANO
30006607,KENWORTH,2016,AMERICANO
30006608,KENWORTH,2016,AMERICANO
30006609,KENWORTH,2016,AMERICANO
30006610,KENWORTH,2016,AMERICANO
30006611,KENWORTH,2016,AMERICANO
30006612,KENWORTH,2016,AMERICANO
30006613,KENWORTH,2016,AMERICANO
30006614,MACK GRANITE,2016,AMERICANO
30006615,MACK GRANITE,2016,AMERICANO
30006617,INTERNATIONAL,2016,AMERICANO
30007037,MACK GRANITE,2017,AMERICANO
30007038,MACK GRANITE,2017,AMERICANO
30007039,MACK GRANITE,2017,AMERICANO
30007040,MACK GRANITE,2017,AMERICANO
30007041,MACK GRANITE,2017,AMERICANO
30007042,MACK GRANITE,2017,AMERICANO
30007043,KENWORTH,2017,AMERICANO
30007044,KENWORTH,2017,AMERICANO
30007045,KENWORTH,2017,AMERICANO
30007046,KENWORTH,2017,AMERICANO
30009418,MACK GRANITE,2019,AMERICANO
30009419,MACK GRANITE,2017,AMERICANO
30009420,MACK GRANITE,2017,AMERICANO
30009421,MACK GRANITE,2017,AMERICANO
30009422,MACK GRANITE,2017,AMERICANO
30009428,KENWORTH,2017,AMERICANO
30009429,KENWORTH,2017,AMERICANO
30009430,KENWORTH,2017,AMERICANO
30009431,KENWORTH,2017,AMERICANO
30009432,KENWORTH,2017,AMERICANO
30009625,MACK GRANITE,2017,AMERICANO
30009626,MACK GRANITE,2018,AMERICANO
30009627,MACK GRANITE,2018,AMERICANO
30009628,MACK GRANITE,2017,AMERICANO
30009629,MACK GRANITE,2017,AMERICANO
30009630,MACK GRANITE,2018,AMERICANO
30009631,KENWORTH,2018,AMERICANO
30009632,KENWORTH,2018,AMERICANO
30009633,KENWORTH,2018,AMERICANO
30009634,KENWORTH,2018,AMERICANO
30009635,KENWORTH,2018,AMERICANO
30009636,KENWORTH,2018,AMERICANO
30009798,MACK GRANITE,2019,AMERICANO
30010145,MACK GRANITE,2018,AMERICANO
30010146,MACK GRANITE,2018,AMERICANO
30010147,MACK GRANITE,2018,AMERICANO
30010148,MACK GRANITE,2018,AMERICANO
30010149,MACK GRANITE,2018,AMERICANO
30010150,MACK GRANITE,2019,AMERICANO
30010151,MACK GRANITE,2019,AMERICANO
30010152,MACK GRANITE,2019,AMERICANO
30010153,MACK GRANITE,2019,AMERICANO
30010154,MACK GRANITE,2019,AMERICANO
30010155,MACK GRANITE,2019,AMERICANO
30010156,MACK GRANITE,2019,AMERICANO
30010157,MACK GRANITE,2018,AMERICANO
30010158,MACK GRANITE,2019,AMERICANO
30010159,MACK GRANITE,2016,AMERICANO
30010160,MACK GRANITE,2019,AMERICANO
30011393,MACK GRANITE,2022,AMERICANO
30011601,FOTON,2021,CHINO
30011666,SINOTRUCK,2021,CHINO
30011667,SINOTRUCK,2021,CHINO
30011788,SCANIA,2021,EUROPEO
30011789,SCANIA,2022,EUROPEO
30011790,SCANIA,2022,EUROPEO
30011791,SCANIA,2022,EUROPEO
30011940,SCANIA,2022,EUROPEO
30011941,SCANIA,2022,EUROPEO
30012191,KENWORTH,2023,AMERICANO
30012192,KENWORTH,2023,AMERICANO
30012193,KENWORTH,2022,AMERICANO
30012223,SINOTRUCK,2022,CHINO
30012224,SINOTRUCK,2022,CHINO
30012225,SINOTRUCK,2022,CHINO
30012226,SINOTRUCK,2022,CHINO
30012227,SINOTRUCK,2022,CHINO
30012242,SINOTRUCK,2022,CHINO
30012243,SINOTRUCK,2022,CHINO
30012244,SINOTRUCK,2022,CHINO
30012245,SINOTRUCK,2022,CHINO
30012246,SINOTRUCK,2022,CHINO
30012247,SINOTRUCK,2022,CHINO
30012248,SINOTRUCK,2022,CHINO
30012249,SINOTRUCK,2022,CHINO
30012250,SINOTRUCK,2022,CHINO
30012251,SINOTRUCK,2022,CHINO
30012329,SINOTRUCK,2022,CHINO
30012330,SINOTRUCK,2022,CHINO
30012331,SINOTRUCK,2022,CHINO
30012484,SCANIA,2022,EUROPEO
30012485,SCANIA,2022,EUROPEO
30012486,SCANIA,2022,EUROPEO
30012487,SCANIA,2022,EUROPEO
30012488,SCANIA,2022,EUROPEO
30012489,SCANIA,2022,EUROPEO
30012511,SCANIA,2022,EUROPEO
30012512,SCANIA,2022,EUROPEO
30012513,SCANIA,2022,EUROPEO
30012514,SCANIA,2022,EUROPEO
30012515,SCANIA,2022,EUROPEO
30012516,SCANIA,2022,EUROPEO
30012603,FOTON,2023,CHINO
30012604,FOTON,2023,CHINO
30012605,FOTON,2023,CHINO
30012606,FOTON,2023,CHINO
30012828,SINOTRUCK,2018,CHINO
30012829,SINOTRUCK,2018,CHINO
30012830,SINOTRUCK,2023,CHINO
30012831,SINOTRUCK,2023,CHINO
30012832,SINOTRUCK,2023,CHINO
30012833,SINOTRUCK,2023,CHINO
30012834,SINOTRUCK,2023,CHINO
30012835,SINOTRUCK,2023,CHINO
30012836,SINOTRUCK,2023,CHINO
30012837,SINOTRUCK,2023,CHINO
30012856,SINOTRUCK,2023,CHINO
30012857,SINOTRUCK,2023,CHINO
30012858,SINOTRUCK,2023,CHINO
30012859,SINOTRUCK,2023,CHINO
30012862,INTERNATIONAL,2023,AMERICANO
30012863,INTERNATIONAL,2023,AMERICANO
30012992,INTERNATIONAL,2024,AMERICANO
30013006,SINOTRUCK,2024,CHINO
30013007,SINOTRUCK,2024,CHINO
30013008,SINOTRUCK,2024,CHINO
30013009,SINOTRUCK,2024,CHINO
30013010,SINOTRUCK,2024,CHINO
30013011,SINOTRUCK,2024,CHINO
30013012,SINOTRUCK,2024,CHINO
30013013,SINOTRUCK,2024,CHINO
30013014,SINOTRUCK,2024,CHINO
30013022,SINOTRUCK,2024,CHINO
30013023,SINOTRUCK,2024,CHINO
30013040,SINOTRUCK,2024,CHINO
30013041,SINOTRUCK,2024,CHINO
30013042,SINOTRUCK,2024,CHINO
30013043,SINOTRUCK,2024,CHINO
30013050,SINOTRUCK,2024,CHINO
30013051,SINOTRUCK,2024,CHINO
30013052,SINOTRUCK,2024,CHINO
30013053,SINOTRUCK,2024,CHINO
30013054,SINOTRUCK,2024,CHINO
30013055,SINOTRUCK,2024,CHINO
30013218,SINOTRUCK,2024,CHINO
30013219,SINOTRUCK,2024,CHINO
30013220,SINOTRUCK,2024,CHINO
30013221,SINOTRUCK,2024,CHINO
30013409,SINOTRUCK,2024,CHINO
30013410,SINOTRUCK,2024,CHINO
30013411,SINOTRUCK,2024,CHINO
30013412,SINOTRUCK,2024,CHINO
30013413,SINOTRUCK,2024,CHINO
