Order,Description,Created On,Changed On,Equipment,MaintPlant,Plant
41144642,TRABAJOS PHI,2020-01-03,2022-02-07,30004414,R592,R592
41144643,TRABAJOS PHI,2020-01-03,2022-02-07,30004415,R592,R592
41151313,TRABAJOS PHI,2020-01-24,2022-02-07,30004415,R592,R592
41152917,LLANTA RENOVADA 24.5,2020-01-29,2022-02-07,30004414,R592,R592
41154281,"BOMBA SUSTRAN, BABEROS Y FUGA DE AIRE",2020-02-04,2021-12-22,30004414,R592,R592
41155717,LIMPIEZA DE OLLA,2020-02-07,2022-02-07,30004415,R592,R592
41157622,TUBING NEUMATICO CON GARBANZO E INSERTOS,2020-02-14,2022-02-07,30004415,R592,R592
41157627,NO JUNTA AIRE,2020-02-14,2021-12-22,30004415,R592,R592
41158927,MATERIAL LIMPIEZA FEBRERO 2020,2020-02-19,2022-02-07,30004415,R592,R592
41161317,SERVICIO GENERAL,2020-02-27,2021-12-22,30004415,R592,R592
41161784,TRABAJOS PHI,2020-02-28,2021-12-22,30004414,R592,R592
41165916,MATERIAL DE LIMPIEZA MARZO 2020,2020-03-14,2022-02-07,30004414,R592,R592
41168375,REPARACION RADIADOR,2020-03-25,2021-12-22,30004414,R592,R592
41170107,REPARACION FAN CLUTCH,2020-04-01,2021-12-22,30004415,R592,R592
41172113,FUGA POR BOMBA SUSTRAN,2020-04-08,2022-02-07,30004414,R592,R592
41175266,PAGO MANTENIMIENTO REVOLVEDOR PHI,2020-04-23,2022-02-07,30004415,R592,R592
41175267,PAGO MANTENIMIENTO REVOLVEDOR PHI,2020-04-23,2022-02-07,30004414,R592,R592
41178180,MATERIAL DE LIMPIEZA MAYO 2020,2020-05-04,2022-02-07,30004414,R592,R592
41178186,MATERIAL DE LIMPIEZA MAYO 2020,2020-05-04,2022-02-07,30004415,R592,R592
41178187,MATERIAL DE LIMPIEZA MAYO 2020,2020-05-04,2022-02-07,30004441,R592,R592
41188300,CAMBIO DE BATERIAS Y PLAFONES,2020-06-12,2022-02-07,30004414,R592,R592
41190500,SERVICIO GATOS,2020-06-20,2021-12-22,30004441,R592,R592
41190501,SERVICIO GATOS,2020-06-20,2022-02-07,30004415,R592,R592
41194056,CAMBIO DE CRUCETA,2020-07-02,2022-07-28,30004415,R592,R592
41194057,CAMBIO DE MARCHA,2020-07-02,2022-07-28,30004441,R592,R592
41195444,CORTO EN MARCHA,2020-07-08,2022-07-28,30004441,R592,R592
41197134,PINTURA EQUIPO ALIADO,2020-07-13,2022-02-07,30004441,R592,R592
41197911,REPARACION MANGUERA MOTRO,2020-07-17,2022-07-28,30004441,R592,R592
41198224,MATERIAL LIMIPEZA DE UNIDAD JULIO 2020,2020-07-17,2022-02-07,30004441,R592,R592
41199721,CAMBIO DE BABERO Y CAMBIO DE CABLE OLLA,2020-07-23,2022-02-07,30004441,R592,R592
41200160,MATERIAL JULIO 2020,2020-07-25,2022-02-07,30004415,R592,R592
41201019,FALLA EN MOTOR,2020-07-29,2022-07-28,30004441,R592,R592
41203502,REVISION GENERAL,2020-08-07,2022-02-07,30004414,R592,R592
41204090,MATERIAL DE LIMPIEZA AGOSTO 2020,2020-08-10,2022-02-07,30004415,R592,R592
41204465,CHICOTE SE SALIO DE PALANCA DE DESCARGA,2020-08-10,2022-02-07,30004441,R592,R592
41205393,NO TIENE CONTROL DE OLLA,2020-08-13,2021-12-22,30004414,R592,R592
41205396,REVISION GENERAL,2020-08-13,2022-02-07,30004414,R592,R592
41205399,FRENO DE ESTACIONAMIENTO FALLA,2020-08-13,2021-12-22,30004441,R592,R592
41205492,LIMPIEZA DE OLLA,2020-08-13,2022-02-07,30004414,R592,R592
41205709,REPARAR  SISTEMA COMUNICACION,2020-08-14,2021-12-22,30004414,R592,R592
41206469,MATERIAL LIMPIEZA AGOSTO 2020,2020-08-17,2022-02-07,30004441,R592,R592
41206810,CAMBIO DE LLANTA POR DESGASTE TOTAL,2020-08-19,2022-02-07,30004415,R592,R592
41208525,MANGUERA SUELTA,2020-08-24,2021-12-22,30004414,R592,R592
41208856,CAMBIO DE PICHANCHA Y CAMBIO DE CANALON,2020-08-25,2022-02-07,30004414,R592,R592
41209474,CAMBIO DE PICHANCHA Y VALVULA TANQUE,2020-08-26,2022-02-07,30004414,R592,R592
41209810,DESCARGA MUY RAPIDO EL AIRE,2020-08-27,2022-02-07,30004414,R592,R592
41212351,MATERIAL DE LIMPIEZA SEPT 2020,2020-09-03,2022-02-07,30004415,R592,R592
41212892,SOLDAR CINCHO TANQUE DE AGUA,2020-09-09,2022-02-07,30004414,R592,R592
41214493,CAMBIO DE CINCHO TANQUE AGUA,2020-09-11,2022-02-07,30004414,R592,R592
41215353,RESCATE,2020-09-15,2021-12-22,30004414,R592,R592
41215702,CAMBIO DE RODILLO Y BABERO,2020-09-17,2021-12-22,30004415,R592,R592
41215936,IDA A MINA GATOS  GRUPO  PHI,2020-09-17,2022-02-07,30004415,R592,R592
41218349,MATERIAL LIMPIEZA SEPTIEMBRE 2020,2020-09-28,2022-02-07,30004415,R592,R592
41222474,MATERIAL LIMPIEZA OCTUBRE 2020,2020-10-08,2022-02-07,30004415,R592,R592
41223036,REPARAR SISTEMA DE COMUNICACION,2020-10-10,2021-12-22,30004414,R592,R592
41225265,DETALLES SALIDA MINA GATOS,2020-10-19,2022-02-07,30004415,R592,R592
41225266,DETALLES SALIDA MINA GATOS,2020-10-19,2022-02-07,30004415,R592,R592
41225267,DETALLES SALIDA MINA GATOS,2020-10-19,2022-02-07,30004415,R592,R592
41226554,CAMBIO DE CONTROL GIRO OLLA,2020-10-22,2022-02-07,30004414,R592,R592
41227424,LLANTA POR TRONADA EN OBRA,2020-10-26,2022-02-07,30004414,R592,R592
41228500,REVISION GENERAL,2020-11-03,2022-02-07,30004415,R592,R592
41228790,REPARACION DE OLLA,2020-10-31,2022-02-07,30004414,R592,R592
41229917,LLANTA RENOVADA 24.5,2020-11-03,2022-02-07,30004414,R592,R592
41230436,PAGO MANO DE OBRA BELTRAN,2020-11-05,2021-12-22,30004415,R592,R592
41235928,CAMBIO DE CANALON AUXILIAR,2020-11-26,2022-02-07,30004415,R592,R592
41235930,CAMBIO DE PICHANCHA,2020-11-26,2022-02-07,30004415,R592,R592
41238225,RELLENO ANTICONGELANTE,2020-12-04,2022-02-07,30004414,R592,R592
41238226,CAMBIO DE BATERIAS,2020-12-04,2022-02-07,30004414,R592,R592
41238381,CAMION NO ENCIENDE,2020-12-07,2022-02-07,30004414,R592,R592
41241991,OLLA PARA TRACTO SIN NUMERO,2020-12-17,2022-02-07,30004415,R592,R592
41242166,REEMPLAZAR LLANTA POR DEGASTE,2020-12-18,2022-02-07,30004415,R592,R592
41246316,REEMPLAZAR VALVULA DE TRES VIAS,2021-01-07,2022-02-07,30004430,R592,R592
41247350,CAMBIO DE RADIADOR,2021-01-11,2021-10-18,30004430,R592,R592
41247645,LUBRICACION CRUCETAS Y RODILLOS,2021-01-12,2021-12-04,30004415,R592,R592
41247690,FAN CLUTCH NO ACTIVA OJINAGA,2021-01-14,2021-10-18,30004430,R592,R592
41247691,CORTO EN TABLERO MINA GATOS,2021-01-14,2021-10-18,30004415,R592,R592
41251137,RODILLO AMARRADO MINA GATOS,2021-01-25,2021-12-04,30004415,R592,R592
41255454,LLANTA RENOVADA 24.5 MINA GATOS,2021-02-10,2021-12-04,30004415,R592,R592
41256536,FUGA DE AGUA RADIADOR Y ACEITE MOTOR,2021-02-12,2021-10-18,30004415,R592,R592
41257561,FUGA DE ACEITE DIRECCION,2021-02-16,2021-12-04,30004430,R592,R592
41258579,ACIDO Y CEPILLOS AUTORIZADOS,2021-02-20,2021-12-04,30004430,R592,R592
41259253,"FUGA DE AIRE, TANQUES, FUGA ACEITE BOMBA",2021-02-23,2021-12-04,30004430,R592,R592
41261518,CAMBIO DE GATO CANALON,2021-03-03,2021-12-04,30004430,R592,R592
41262674,MATERIAL LIMPIEZA AUTORIZADO,2021-03-08,2021-12-04,30004415,R592,R592
41263546,VALVULA SECADOR Y LUCES,2021-03-11,2021-12-04,30004430,R592,R592
41266285,LLANTA RENOVADA 24.5,2021-03-23,2021-12-04,30004415,R592,R592
41270434,REEMPLAZO ACUMULADORES,2021-04-07,2022-02-07,30004430,R592,R592
41271098,REVISAR LUCES Y FUGAS DE AIRE,2021-04-09,2021-12-04,30004415,R592,R592
41272667,"MANGUERA PARA FRENOS DE 3/8""",2021-04-15,2021-12-04,30004415,R592,R592
41274776,FUGA DE ACEITE BBA SUSTRAN,2021-04-23,2021-12-04,30004430,R592,R592
41274787,NO JALA CONTROL OLLA ADENTRO,2021-04-23,2021-12-04,30004430,R592,R592
41275378,RELLENAR ACIETE DE MOTOR,2021-04-26,2022-02-07,30004415,R592,R592
41276415,FUGA BBA SUSTRAN,2021-04-29,2021-12-04,30004415,R592,R592
41278425,NO ENFRIA A/C,2021-05-06,2021-10-18,30004411,R592,R592
41279747,CAMBIO DE BALEROS PERIQUERA,2021-05-11,2021-12-04,30004443,R592,R592
41281180,CANALON NO SUBE NI BAJA DE ATRAS,2021-05-15,2021-12-04,30004411,R592,R592
41281468,2 LLANTAS CONTINENTAL,2021-05-17,2021-12-04,30004443,R592,R592
41282789,CAMBIO DE CRUZETAS,2021-05-21,2021-12-04,30004411,R592,R592
41282899,REPARAR FLECHA SUSTRAN,2021-05-22,2022-02-07,30004415,R592,R592
