FECHA,PLANTA,UNIDAD,ESTATUS,MARCA,MODELO,Discripción de Falla,TIPO DE FALLA,EQUIPO,TALLER,Tiempo Paro (h)
2026-01-02,TOLEDANO,13042,DISPONIBLE,SINOTRUCK,2024.0,TUBO DE AGUA QUEBRADO ,MECANICO,ALIADO,RAYMUNDO ,3
2026-01-02,TOLEDANO,9636,DISPONIBLE,KENWORTH,2018.0,FRENOS,FRENOS ,TRACTO,INTERNO,22
2026-01-02,IMPULSO,9631,DISPONIBLE,KENWORTH,2018.0,MANGUERA ROTA ,HIDRAULICO,ALIADO,INTERNO,3
2026-01-03,IMPULSO,9631,DISPONIBLE,KENWORTH,2018.0,"MARCHA, LUCES, AIRE ACONDICIONADO, ",ELECTRICO,ALIADO,KENWORTH,13
2026-01-02,SUPERIOR ,6600,DISPONIBLE,KENWORTH,2016.0,REPARACION DE ASPAS Y BARREADORES ,PAILERIA,ALIADO,RAYMUNDO ,5
2026-01-02,IMPULSO,6302,DISPONIBLE,KENWORTH,2016.0,"Fabricación de faldon, cono, puente, barandal",PAILERIA,ALIADO,INTERNO,5
2026-01-02,SUPERIOR ,10154,DISPONIBLE,MACK GRANITE,2019.0,"FALLA LUCES , CHAPA INTERIOR DE PUERA, CARGADOR DE CONTROL REMOTO,",ELECTRICO,TRACTO,GRUPO TAN ,60
2026-01-02,HOMERO,7043,DISPONIBLE,KENWORTH,2017.0,LIMPIEZA DE OLLA ,LIMPIEZA,ALIADO,RAYMUNDO ,18
2026-01-02,IMPULSO,6162,DISPONIBLE,KENWORTH,2015.0,AJUSTE DE FRENOS ,FRENOS ,TRACTO,KENWORTH,3
2026-01-03,CANTERA,13041,DISPONIBLE,SINOTRUCK,2024.0,TUBO DE VALVULA DE CARGA DE AGUA  ,MECANICO,ALIADO,RAYMUNDO ,2
2026-01-05,SUPERIOR,13051,DISPONIBLE,SINOTRUCK,2024.0,SEGURO DE CANALON DE DESCARGA,PAILERIA,ALIADO,RAYMUNDO ,2
2026-01-06,UVM,5761,DISPONIBLE,KENWORTH,2014.0,SOLDAR DEFENSA TRASERA ,PAILERIA,TRACTO,RAYMUNDO ,3
2026-01-07,UVM,5761,DISPONIBLE,KENWORTH,2014.0,"REVISION DE LUCES, FUGAS DE AIRE, DEPOSITO DE ANTICONGELANTE, ",ELECTRICO,TRACTO,KENWORTH,24
2026-01-07,TOLEDANO,9636,DISPONIBLE,KENWORTH,2018.0,"ACOMODAR VAMPIRO, CANALON, BABERO",MECANICO,ALIADO,RAYMUNDO ,4
2026-01-07,IMPULSO,7044,DISPONIBLE,KENWORTH,2017.0,FALLAN BATERIAS ,ELECTRICO,TRACTO,KENWORTH,2
2026-01-08,UVM,13052,DISPONIBLE,SINOTRUCK,2024.0,"NIPLE VALVULA CARGA DE AGUA,",MECANICO,ALIADO,RAYMUNDO ,2
2026-01-08,UVM,13052,DISPONIBLE,SINOTRUCK,2024.0,ESPEJOLATERAL ROTO ,CABINA,TRACTO,TSN,2
2026-01-08,IMPULSO,13218,DISPONIBLE,SINOTRUCK,2024.0,FUGAS DE AGUA MANGUERAS LAVADO ,MECANICO,ALIADO,RAYMUNDO ,2
2026-01-09,IMPULSO,6302,DISPONIBLE,KENWORTH,2016.0,ALINEACION DE CAMION,MECANICO,TRACTO,KENWORTH,18
2026-01-10,HOMERO,7043,DISPONIBLE,KENWORTH,2017.0,FISURA EN CANALON SECUNDARIO ,PAILERIA,ALIADO,RAYMUNDO ,5
