unidad,localidad,planta
4228,CHI,SIN PLANTA
4229,DEL,DELICIAS
4258,CHI,SIN PLANTA
4260,CHI,SIN PLANTA
4274,CHI,SIN PLANTA
4276,CHI,SIN PLANTA
4280,CHI,SIN PLANTA
4282,CHI,SIN PLANTA
4290,CHI,SIN PLANTA
4332,CHI,SIN PLANTA
4344,CHI,SIN PLANTA
4348,CHI,SIN PLANTA
4350,CHI,SIN PLANTA
4353,CHI,SIN PLANTA
4355,CHI,SIN PLANTA
4360,CUA,CUAUHTEMOC
4361,COR,CORREDOR
4362,CUA,SIN PLANTA
4363,COR,CORREDOR
4364,CHI,SIN PLANTA
4365,COR,CORREDOR
4368,COR,CORREDOR
4372,CHI,SIN PLANTA
4385,CUA,CUAUHTEMOC
4386,CHI,SIN PLANTA
4387,CHI,SIN PLANTA
4388,CHI,SIN PLANTA
4390,COR,CORREDOR
4391,CHI,SIN PLANTA
4392,CHI,SIN PLANTA
4395,CHI,SIN PLANTA
4399,PIN,PINOS ALTOS
4403,CUA,CUAUHTEMOC
4405,CHI,SIN PLANTA
4406,COR,CORREDOR
4407,CHI,HOMERO T
4408,CHI,CHIHUAHUA
4412,CUA,CUAUHTEMOC
4414,COR,CORREDOR
4415,COR,CORREDOR
4417,CUA,CUAUHTEMOC
4418,CUA,CUAUHTEMOC
4420,COR,CUAUHTEMOC
4421,PIN,PINOS ALTOS
4422,PIN,PINOS ALTOS
4426,CHI,SIN PLANTA
4427,GAT,GATOS
4430,COR,CORREDOR
4441,COR,CORREDOR
4442,COR,CUAUHTEMOC
4443,COR,CORREDOR
4444,CUA,CUAUHTEMOC
4445,COR,CORREDOR
5344,COR,CORREDOR
5347,COR,CORREDOR
5349,COR,CORREDOR
5350,COR,CORREDOR
5351,COR,CORREDOR
5354,COR,CORREDOR
5756,COR,CORREDOR
5757,PIN,PINOS ALTOS
5758,COR,CORREDOR
5759,PIN,PINOS ALTOS
5760,GAT,GATOS
5761,CHI,UVM
5762,GAT,GATOS
5763,CUA,CUAUHTEMOC
5764,CUA,CUAUHTEMOC
5765,CUA,CUAUHTEMOC
6161,PAR,PARRAL
6162,CHI,IMPULSO
6163,CHI,SUPERIOR 
6164,CUA,CUAUHTEMOC
6170,PAR,PARRAL
6171,PAR,PARRAL
6300,GAT,GATOS
6301,CHI,HOMERO
6302,CHI,IMPULSO
6598,PIN,PINOS ALTOS
6599,PAR,PARRAL
6600,CHI,SUPERIOR 
6603,CHI,IMPULSO
6605,CHI,HOMERO
6608,CHI,IMPULSO
6611,CHI,UVM
