Fecha,Activos,Odómetro (km),Costo,Horas de motor,Notas,Registrado por
17/06/2023,CAMION 7043,0,-,13003,Se dio mantenimiento el 17 de junio con 13003 horas,
26/02/2024,B 4410,123182,-,13829,SE REALIZA SERVICIO DE MTTO PREVENTIVO A MOTOR CAMBIO DE ACEITE Y FILTROS NO SE ENCONTRO NINGUNA ANOMALIA,
27/02/2024,B 6995,139713,-,18896,SE REALIZA SERVICIO DE MANTENIMIENTO PREVENTIVO DE 350 HRS CAMBIO DE ACEITE Y FILTRO ENGRASADO GENERAL ,
05/03/2024,B 4370,271874,-,40020,SE REALIZA SERVICIO PREVENTIVO CAMBIO DE ACEITE Y FILTROS ,
05/03/2024,B 4447,269679,-,37426,SE REALIZA SERVICIO DE MANTENIMIENTO PREVENTIVO A MOTOR CAMBIO DE ACEITE Y FILTROS ,
11/03/2024,B 4446,264737,-,39660,"SE REALIZA MANTENIMIENTO PREVENTIVO PM1 
CAMBIO DE ACEITE Y FILTROS ",
19/03/2024,B 9440,86374,-,17058,SE REALIZA SERVICIO DE MANTENIMIENTO PREVENTIVO A CAMION CAMBIO DE ACEITE Y FILTROS ENGRASADO GENERAL DE EQUIPO NO SE ENCONTRO NINGUNA ANOMAILIA,
22/03/2024,B 6652,109393,-,20671,SE REALIZA SERVICIO DE MANTENIMIENTO PREVENTIVO CAMBIO DE ACEITE Y FILTROS ENGRASADO GENERAL ,
08/04/2024,B 6653,75094,-,18046,SE REALIZA SERVICIO DE MANTENIMIENTO PREVENTIVO CAMBIO DE ACEITE Y FILTROS ENGRASADO GENERAL ,
12/04/2024,B 6248,9402,-,1433,SE REALIZA SERVICIO PREVENTIVO PM1 CAMBIO DE ACEITE Y FILTROS ENGRASADO GENERAL DE LA UNIDAD NO SE DETECTO NINGUNA ANOMALIA ,
12/04/2024,B 6995,142519,-,19249,SE REALIZA SERVICIO DE MTTO PREVENTIVO CAMBIO DE ACEITE Y FILTROS NO SE DETECTO NINGUNA ANOMALIA ENGRASADO GENERAL ,
19/04/2024,B 10141,76855,-,11484,SE REALIZA SERVICIO PREVENTIVO A MOTOR CAMBIO DE ACEITE Y FILTROS ASI COMO ENGRASADO GENERAL ,
26/04/2024,CR 12832,12402,-,1215,,
26/04/2024,CR 12832,12402,-,1215,,
07/05/2024,B 12912,7314,-,1201,SE REALIZA SERVICIO DE MTTO PREVENTIVO EN AGENCIA CADISA ,
22/05/2024,B 9591,95365,-,17015,SE REALIZA SERVICIO ALA 16838 EL DIA 30 DE ABRIL ,
